winnowing_point,candidate_code,candidate_name,vote_total,vote_pct,status,quota_threshold,accumulated_pool_size
After_Retail_Six,RH,CON,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,MW,SD,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,MRJ,STY,28.9155,1.39,surviving,161.0176,2080.2284
After_Retail_Six,BE,NAT,5.5462,0.2666,surviving,161.0176,2080.2284
After_Retail_Six,CO,LIB,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,DH,REF,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,LK,CTR,0.0209,0.001,surviving,161.0176,2080.2284
After_Retail_Six,ZN,DSA,0.0,0.0,previously_eliminated,161.0176,2080.2284
After_Retail_Six,JR,PRG,54.0263,2.5971,surviving,161.0176,2080.2284
After_Retail_Six,PRG_dsa,PRG_dsa,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,DSA_prg,DSA_prg,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,DSA_lib,DSA_lib,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,LIB_dsa,LIB_dsa,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,LIB_sd,LIB_sd,9.6603,0.4644,surviving,161.0176,2080.2284
After_Retail_Six,SD_lib,SD_lib,9.7717,0.4697,surviving,161.0176,2080.2284
After_Retail_Six,SD_sty,SD_sty,39.4539,1.8966,surviving,161.0176,2080.2284
After_Retail_Six,STY_sd,STY_sd,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,STY_ctr,STY_ctr,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,CTR_sty,CTR_sty,0.3891,0.0187,surviving,161.0176,2080.2284
After_Retail_Six,CTR_con,CTR_con,0.0236,0.0011,surviving,161.0176,2080.2284
After_Retail_Six,CON_ctr,CON_ctr,0.0554,0.0027,surviving,161.0176,2080.2284
After_Retail_Six,CON_ref,CON_ref,0.0062,0.0003,surviving,161.0176,2080.2284
After_Retail_Six,REF_con,REF_con,0.1486,0.0071,surviving,161.0176,2080.2284
After_Retail_Six,REF_nat,REF_nat,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Retail_Six,NAT_ref,NAT_ref,0.0,0.0,eliminated_this_round,161.0176,2080.2284
After_Pod_A,RH,CON,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,MW,SD,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,MRJ,STY,149.7844,1.2581,surviving,1083.3608,11905.9686
After_Pod_A,BE,NAT,420.2708,3.5299,surviving,1083.3608,11905.9686
After_Pod_A,CO,LIB,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,DH,REF,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,LK,CTR,10.7557,0.0903,surviving,1083.3608,11905.9686
After_Pod_A,ZN,DSA,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,JR,PRG,0.0657,0.0006,surviving,1083.3608,11905.9686
After_Pod_A,PRG_dsa,PRG_dsa,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,DSA_prg,DSA_prg,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,DSA_lib,DSA_lib,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,LIB_dsa,LIB_dsa,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,LIB_sd,LIB_sd,0.2605,0.0022,surviving,1083.3608,11905.9686
After_Pod_A,SD_lib,SD_lib,0.3135,0.0026,surviving,1083.3608,11905.9686
After_Pod_A,SD_sty,SD_sty,6.9671,0.0585,surviving,1083.3608,11905.9686
After_Pod_A,STY_sd,STY_sd,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,STY_ctr,STY_ctr,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,CTR_sty,CTR_sty,0.0,0.0,eliminated_this_round,1083.3608,11905.9686
After_Pod_A,CTR_con,CTR_con,20.0516,0.1684,surviving,1083.3608,11905.9686
After_Pod_A,CON_ctr,CON_ctr,106.4025,0.8937,surviving,1083.3608,11905.9686
After_Pod_A,CON_ref,CON_ref,357.489,3.0026,surviving,1083.3608,11905.9686
After_Pod_A,REF_con,REF_con,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,REF_nat,REF_nat,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_A,NAT_ref,NAT_ref,0.0,0.0,previously_eliminated,1083.3608,11905.9686
After_Pod_C,RH,CON,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,MW,SD,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,MRJ,STY,163.9336,0.7775,surviving,2343.8332,21085.4989
After_Pod_C,BE,NAT,25.0153,0.1186,surviving,2343.8332,21085.4989
After_Pod_C,CO,LIB,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,DH,REF,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,LK,CTR,939.2551,4.4545,surviving,2343.8332,21085.4989
After_Pod_C,ZN,DSA,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,JR,PRG,3.9483,0.0187,surviving,2343.8332,21085.4989
After_Pod_C,PRG_dsa,PRG_dsa,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,DSA_prg,DSA_prg,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,DSA_lib,DSA_lib,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,LIB_dsa,LIB_dsa,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,LIB_sd,LIB_sd,246.5438,1.1693,surviving,2343.8332,21085.4989
After_Pod_C,SD_lib,SD_lib,193.4476,0.9174,surviving,2343.8332,21085.4989
After_Pod_C,SD_sty,SD_sty,0.0,0.0,eliminated_this_round,2343.8332,21085.4989
After_Pod_C,STY_sd,STY_sd,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,STY_ctr,STY_ctr,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,CTR_sty,CTR_sty,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,CTR_con,CTR_con,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,CON_ctr,CON_ctr,514.8988,2.442,surviving,2343.8332,21085.4989
After_Pod_C,CON_ref,CON_ref,247.7908,1.1752,surviving,2343.8332,21085.4989
After_Pod_C,REF_con,REF_con,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,REF_nat,REF_nat,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_C,NAT_ref,NAT_ref,0.0,0.0,previously_eliminated,2343.8332,21085.4989
After_Pod_BD,RH,CON,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,MW,SD,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,MRJ,STY,550.9404,1.2074,surviving,7606.1904,45631.1423
After_Pod_BD,BE,NAT,168.0353,0.3682,surviving,7606.1904,45631.1423
After_Pod_BD,CO,LIB,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,DH,REF,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,LK,CTR,159.7109,0.35,surviving,7606.1904,45631.1423
After_Pod_BD,ZN,DSA,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,JR,PRG,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,PRG_dsa,PRG_dsa,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,DSA_prg,DSA_prg,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,DSA_lib,DSA_lib,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,LIB_dsa,LIB_dsa,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,LIB_sd,LIB_sd,0.0,0.0,eliminated_this_round,7606.1904,45631.1423
After_Pod_BD,SD_lib,SD_lib,6707.6961,14.6998,surviving,7606.1904,45631.1423
After_Pod_BD,SD_sty,SD_sty,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,STY_sd,STY_sd,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,STY_ctr,STY_ctr,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,CTR_sty,CTR_sty,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,CTR_con,CTR_con,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,CON_ctr,CON_ctr,0.0,0.0,eliminated_this_round,7606.1904,45631.1423
After_Pod_BD,CON_ref,CON_ref,13.8077,0.0303,surviving,7606.1904,45631.1423
After_Pod_BD,REF_con,REF_con,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,REF_nat,REF_nat,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,NAT_ref,NAT_ref,0.0,0.0,previously_eliminated,7606.1904,45631.1423
