state_fips,state_abbr,district_id,seat_count,density_tier,approx_population
1,AL,01-01,5,URBAN,1900000
1,AL,01-02,5,SUBURBAN,1900000
1,AL,01-03,3,RURAL,1140000
2,AK,02-01,2,SUBURBAN,760000
4,AZ,04-01,7,URBAN,2660000
4,AZ,04-02,7,URBAN,2660000
4,AZ,04-03,5,SUBURBAN,1900000
5,AR,05-01,5,URBAN,1900000
5,AR,05-02,3,SUBURBAN,1140000
6,CA,06-01,7,URBAN,2660000
6,CA,06-02,7,URBAN,2660000
6,CA,06-03,5,URBAN,1900000
6,CA,06-04,5,URBAN,1900000
6,CA,06-05,5,URBAN,1900000
6,CA,06-06,5,URBAN,1900000
6,CA,06-07,5,URBAN,1900000
6,CA,06-08,5,URBAN,1900000
6,CA,06-09,5,URBAN,1900000
6,CA,06-10,5,URBAN,1900000
6,CA,06-11,5,URBAN,1900000
6,CA,06-12,5,URBAN,1900000
6,CA,06-13,5,URBAN,1900000
6,CA,06-14,5,SUBURBAN,1900000
6,CA,06-15,5,SUBURBAN,1900000
6,CA,06-16,5,SUBURBAN,1900000
6,CA,06-17,5,SUBURBAN,1900000
6,CA,06-18,5,SUBURBAN,1900000
6,CA,06-19,5,SUBURBAN,1900000
6,CA,06-20,5,RURAL,1900000
8,CO,08-01,5,URBAN,1900000
8,CO,08-02,5,URBAN,1900000
8,CO,08-03,5,SUBURBAN,1900000
9,CT,09-01,3,URBAN,1140000
9,CT,09-02,3,URBAN,1140000
9,CT,09-03,3,SUBURBAN,1140000
10,DE,10-01,3,URBAN,1140000
11,DC,11-01,2,URBAN,760000
12,FL,12-01,7,URBAN,2660000
12,FL,12-02,5,URBAN,1900000
12,FL,12-03,5,URBAN,1900000
12,FL,12-04,5,URBAN,1900000
12,FL,12-05,5,URBAN,1900000
12,FL,12-06,5,URBAN,1900000
12,FL,12-07,5,URBAN,1900000
12,FL,12-08,5,SUBURBAN,1900000
12,FL,12-09,5,SUBURBAN,1900000
12,FL,12-10,5,SUBURBAN,1900000
12,FL,12-11,5,RURAL,1900000
13,GA,13-01,7,URBAN,2660000
13,GA,13-02,7,URBAN,2660000
13,GA,13-03,7,SUBURBAN,2660000
13,GA,13-04,7,RURAL,2660000
15,HI,15-01,4,URBAN,1520000
16,ID,16-01,5,SUBURBAN,1900000
17,IL,17-01,7,URBAN,2660000
17,IL,17-02,7,URBAN,2660000
17,IL,17-03,5,URBAN,1900000
17,IL,17-04,5,URBAN,1900000
17,IL,17-05,5,SUBURBAN,1900000
17,IL,17-06,5,SUBURBAN,1900000
18,IN,18-01,5,URBAN,1900000
18,IN,18-02,5,URBAN,1900000
18,IN,18-03,5,SUBURBAN,1900000
18,IN,18-04,3,RURAL,1140000
19,IA,19-01,5,URBAN,1900000
19,IA,19-02,3,SUBURBAN,1140000
20,KS,20-01,5,URBAN,1900000
20,KS,20-02,3,SUBURBAN,1140000
21,KY,21-01,7,URBAN,2660000
21,KY,21-02,5,SUBURBAN,1900000
22,LA,22-01,7,URBAN,2660000
22,LA,22-02,5,SUBURBAN,1900000
23,ME,23-01,4,RURAL,1520000
24,MD,24-01,5,URBAN,1900000
24,MD,24-02,5,URBAN,1900000
24,MD,24-03,3,SUBURBAN,1140000
24,MD,24-04,3,RURAL,1140000
25,MA,25-01,5,URBAN,1900000
25,MA,25-02,5,URBAN,1900000
25,MA,25-03,5,SUBURBAN,1900000
25,MA,25-04,3,RURAL,1140000
26,MI,26-01,7,URBAN,2660000
26,MI,26-02,5,URBAN,1900000
26,MI,26-03,5,SUBURBAN,1900000
26,MI,26-04,5,SUBURBAN,1900000
26,MI,26-05,5,RURAL,1900000
27,MN,27-01,5,URBAN,1900000
27,MN,27-02,5,SUBURBAN,1900000
27,MN,27-03,5,RURAL,1900000
28,MS,28-01,5,SUBURBAN,1900000
28,MS,28-02,3,RURAL,1140000
29,MO,29-01,5,URBAN,1900000
29,MO,29-02,5,URBAN,1900000
29,MO,29-03,3,SUBURBAN,1140000
29,MO,29-04,3,RURAL,1140000
30,MT,30-01,3,SUBURBAN,1140000
31,NE,31-01,5,SUBURBAN,1900000
32,NV,32-01,5,URBAN,1900000
32,NV,32-02,3,SUBURBAN,1140000
33,NH,33-01,4,SUBURBAN,1520000
34,NJ,34-01,7,URBAN,2660000
34,NJ,34-02,7,URBAN,2660000
34,NJ,34-03,5,URBAN,1900000
34,NJ,34-04,5,SUBURBAN,1900000
35,NM,35-01,3,URBAN,1140000
35,NM,35-02,3,SUBURBAN,1140000
36,NY,36-01,7,URBAN,2660000
36,NY,36-02,7,URBAN,2660000
36,NY,36-03,7,URBAN,2660000
36,NY,36-04,7,URBAN,2660000
36,NY,36-05,5,URBAN,1900000
36,NY,36-06,5,SUBURBAN,1900000
36,NY,36-07,5,SUBURBAN,1900000
36,NY,36-08,5,SUBURBAN,1900000
36,NY,36-09,5,RURAL,1900000
37,NC,37-01,7,URBAN,2660000
37,NC,37-02,5,URBAN,1900000
37,NC,37-03,5,SUBURBAN,1900000
37,NC,37-04,5,SUBURBAN,1900000
37,NC,37-05,5,RURAL,1900000
38,ND,38-01,2,SUBURBAN,760000
39,OH,39-01,7,URBAN,2660000
39,OH,39-02,7,URBAN,2660000
39,OH,39-03,7,SUBURBAN,2660000
39,OH,39-04,5,SUBURBAN,1900000
39,OH,39-05,5,RURAL,1900000
40,OK,40-01,5,URBAN,1900000
40,OK,40-02,5,SUBURBAN,1900000
41,OR,41-01,5,URBAN,1900000
41,OR,41-02,3,URBAN,1140000
41,OR,41-03,3,SUBURBAN,1140000
42,PA,42-01,7,URBAN,2660000
42,PA,42-02,7,URBAN,2660000
42,PA,42-03,5,URBAN,1900000
42,PA,42-04,5,SUBURBAN,1900000
42,PA,42-05,5,SUBURBAN,1900000
42,PA,42-06,5,RURAL,1900000
44,RI,44-01,3,URBAN,1140000
45,SC,45-01,5,URBAN,1900000
45,SC,45-02,5,SUBURBAN,1900000
45,SC,45-03,3,RURAL,1140000
46,SD,46-01,2,SUBURBAN,760000
47,TN,47-01,5,URBAN,1900000
47,TN,47-02,5,SUBURBAN,1900000
47,TN,47-03,5,RURAL,1900000
47,TN,47-04,3,RURAL,1140000
48,TX,48-01,7,URBAN,2660000
48,TX,48-02,5,URBAN,1900000
48,TX,48-03,5,URBAN,1900000
48,TX,48-04,5,URBAN,1900000
48,TX,48-05,5,URBAN,1900000
48,TX,48-06,5,URBAN,1900000
48,TX,48-07,5,URBAN,1900000
48,TX,48-08,5,URBAN,1900000
48,TX,48-09,5,SUBURBAN,1900000
48,TX,48-10,5,SUBURBAN,1900000
48,TX,48-11,5,SUBURBAN,1900000
48,TX,48-12,5,SUBURBAN,1900000
48,TX,48-13,5,RURAL,1900000
48,TX,48-14,5,RURAL,1900000
48,TX,48-15,5,RURAL,1900000
49,UT,49-01,3,URBAN,1140000
49,UT,49-02,3,URBAN,1140000
49,UT,49-03,3,SUBURBAN,1140000
50,VT,50-01,2,RURAL,760000
51,VA,51-01,5,URBAN,1900000
51,VA,51-02,5,URBAN,1900000
51,VA,51-03,5,SUBURBAN,1900000
51,VA,51-04,5,SUBURBAN,1900000
51,VA,51-05,3,RURAL,1140000
53,WA,53-01,5,URBAN,1900000
53,WA,53-02,5,URBAN,1900000
53,WA,53-03,5,SUBURBAN,1900000
53,WA,53-04,5,RURAL,1900000
54,WV,54-01,5,SUBURBAN,1900000
55,WI,55-01,5,URBAN,1900000
55,WI,55-02,5,URBAN,1900000
55,WI,55-03,3,SUBURBAN,1140000
55,WI,55-04,3,RURAL,1140000
56,WY,56-01,2,SUBURBAN,760000
