state_fips,state_abbr,district_id,seat_count,density_tier,reserve
1,AL,01-01,7,URBAN,5
1,AL,01-02,7,SUBURBAN,5
1,AL,01-03,7,RURAL,5
2,AK,02-01,4,SUBURBAN,0
4,AZ,04-01,9,URBAN,7
4,AZ,04-02,9,URBAN,7
4,AZ,04-03,7,SUBURBAN,7
4,AZ,04-04,5,RURAL,7
5,AR,05-01,7,URBAN,3
5,AR,05-02,6,SUBURBAN,3
6,CA,06-01,9,URBAN,41
6,CA,06-02,9,URBAN,41
6,CA,06-03,9,URBAN,41
6,CA,06-04,9,URBAN,41
6,CA,06-05,9,URBAN,41
6,CA,06-06,9,URBAN,41
6,CA,06-07,9,URBAN,41
6,CA,06-08,9,URBAN,41
6,CA,06-09,9,URBAN,41
6,CA,06-10,9,URBAN,41
6,CA,06-11,7,URBAN,41
6,CA,06-12,7,URBAN,41
6,CA,06-13,7,URBAN,41
6,CA,06-14,7,URBAN,41
6,CA,06-15,7,SUBURBAN,41
6,CA,06-16,7,SUBURBAN,41
6,CA,06-17,7,SUBURBAN,41
6,CA,06-18,7,SUBURBAN,41
6,CA,06-19,7,SUBURBAN,41
6,CA,06-20,7,SUBURBAN,41
6,CA,06-21,5,RURAL,41
8,CO,08-01,9,URBAN,6
8,CO,08-02,5,URBAN,6
8,CO,08-03,5,SUBURBAN,6
8,CO,08-04,5,RURAL,6
9,CT,09-01,9,URBAN,4
9,CT,09-02,6,SUBURBAN,4
10,DE,10-01,5,URBAN,0
11,DC,11-01,4,URBAN,0
12,FL,12-01,9,URBAN,22
12,FL,12-02,9,URBAN,22
12,FL,12-03,9,URBAN,22
12,FL,12-04,9,URBAN,22
12,FL,12-05,9,URBAN,22
12,FL,12-06,7,URBAN,22
12,FL,12-07,7,URBAN,22
12,FL,12-08,7,SUBURBAN,22
12,FL,12-09,7,SUBURBAN,22
12,FL,12-10,7,SUBURBAN,22
12,FL,12-11,5,SUBURBAN,22
12,FL,12-12,5,RURAL,22
13,GA,13-01,9,URBAN,11
13,GA,13-02,9,URBAN,11
13,GA,13-03,7,URBAN,11
13,GA,13-04,7,SUBURBAN,11
13,GA,13-05,7,SUBURBAN,11
13,GA,13-06,6,RURAL,11
15,HI,15-01,8,URBAN,0
16,ID,16-01,10,SUBURBAN,0
17,IL,17-01,9,URBAN,13
17,IL,17-02,9,URBAN,13
17,IL,17-03,9,URBAN,13
17,IL,17-04,7,URBAN,13
17,IL,17-05,7,SUBURBAN,13
17,IL,17-06,7,SUBURBAN,13
17,IL,17-07,6,RURAL,13
18,IN,18-01,9,URBAN,7
18,IN,18-02,7,URBAN,7
18,IN,18-03,7,SUBURBAN,7
18,IN,18-04,5,RURAL,7
19,IA,19-01,7,URBAN,3
19,IA,19-02,7,SUBURBAN,3
20,KS,20-01,7,URBAN,3
20,KS,20-02,5,SUBURBAN,3
21,KY,21-01,7,URBAN,5
21,KY,21-02,6,SUBURBAN,5
21,KY,21-03,5,RURAL,5
22,LA,22-01,9,URBAN,5
22,LA,22-02,5,SUBURBAN,5
22,LA,22-03,5,RURAL,5
23,ME,23-01,7,RURAL,0
24,MD,24-01,9,URBAN,6
24,MD,24-02,7,URBAN,6
24,MD,24-03,5,SUBURBAN,6
24,MD,24-04,5,RURAL,6
25,MA,25-01,9,URBAN,7
25,MA,25-02,9,URBAN,7
25,MA,25-03,7,SUBURBAN,7
25,MA,25-04,5,RURAL,7
26,MI,26-01,9,URBAN,10
26,MI,26-02,9,URBAN,10
26,MI,26-03,7,URBAN,10
26,MI,26-04,7,SUBURBAN,10
26,MI,26-05,5,SUBURBAN,10
26,MI,26-06,5,RURAL,10
27,MN,27-01,9,URBAN,6
27,MN,27-02,5,URBAN,6
27,MN,27-03,5,SUBURBAN,6
27,MN,27-04,5,RURAL,6
28,MS,28-01,7,SUBURBAN,3
28,MS,28-02,5,RURAL,3
29,MO,29-01,9,URBAN,6
29,MO,29-02,7,URBAN,6
29,MO,29-03,5,SUBURBAN,6
29,MO,29-04,5,RURAL,6
30,MT,30-01,6,SUBURBAN,0
31,NE,31-01,10,SUBURBAN,0
32,NV,32-01,7,URBAN,3
32,NV,32-02,6,SUBURBAN,3
33,NH,33-01,7,SUBURBAN,0
34,NJ,34-01,9,URBAN,10
34,NJ,34-02,9,URBAN,10
34,NJ,34-03,7,URBAN,10
34,NJ,34-04,7,SUBURBAN,10
34,NJ,34-05,6,SUBURBAN,10
35,NM,35-01,6,URBAN,0
35,NM,35-02,5,SUBURBAN,0
36,NY,36-01,9,URBAN,21
36,NY,36-02,9,URBAN,21
36,NY,36-03,9,URBAN,21
36,NY,36-04,9,URBAN,21
36,NY,36-05,7,URBAN,21
36,NY,36-06,7,URBAN,21
36,NY,36-07,7,SUBURBAN,21
36,NY,36-08,7,SUBURBAN,21
36,NY,36-09,7,SUBURBAN,21
36,NY,36-10,7,RURAL,21
36,NY,36-11,6,RURAL,21
37,NC,37-01,9,URBAN,11
37,NC,37-02,7,URBAN,11
37,NC,37-03,7,SUBURBAN,11
37,NC,37-04,7,SUBURBAN,11
37,NC,37-05,7,RURAL,11
37,NC,37-06,6,RURAL,11
38,ND,38-01,4,SUBURBAN,0
39,OH,39-01,9,URBAN,12
39,OH,39-02,9,URBAN,12
39,OH,39-03,7,URBAN,12
39,OH,39-04,7,SUBURBAN,12
39,OH,39-05,7,SUBURBAN,12
39,OH,39-06,5,RURAL,12
39,OH,39-07,5,RURAL,12
40,OK,40-01,7,URBAN,4
40,OK,40-02,5,SUBURBAN,4
40,OK,40-03,5,RURAL,4
41,OR,41-01,9,URBAN,4
41,OR,41-02,9,SUBURBAN,4
42,PA,42-01,9,URBAN,14
42,PA,42-02,9,URBAN,14
42,PA,42-03,7,URBAN,14
42,PA,42-04,7,URBAN,14
42,PA,42-05,7,SUBURBAN,14
42,PA,42-06,5,SUBURBAN,14
42,PA,42-07,5,RURAL,14
42,PA,42-08,5,RURAL,14
44,RI,44-01,6,URBAN,0
45,SC,45-01,9,URBAN,5
45,SC,45-02,7,SUBURBAN,5
45,SC,45-03,6,RURAL,5
46,SD,46-01,5,SUBURBAN,0
47,TN,47-01,9,URBAN,7
47,TN,47-02,7,SUBURBAN,7
47,TN,47-03,7,RURAL,7
47,TN,47-04,6,RURAL,7
48,TX,48-01,9,URBAN,30
48,TX,48-02,9,URBAN,30
48,TX,48-03,9,URBAN,30
48,TX,48-04,9,URBAN,30
48,TX,48-05,9,URBAN,30
48,TX,48-06,9,URBAN,30
48,TX,48-07,7,URBAN,30
48,TX,48-08,7,URBAN,30
48,TX,48-09,7,URBAN,30
48,TX,48-10,7,SUBURBAN,30
48,TX,48-11,7,SUBURBAN,30
48,TX,48-12,7,SUBURBAN,30
48,TX,48-13,7,SUBURBAN,30
48,TX,48-14,7,SUBURBAN,30
48,TX,48-15,7,RURAL,30
48,TX,48-16,5,RURAL,30
49,UT,49-01,9,URBAN,3
49,UT,49-02,5,SUBURBAN,3
50,VT,50-01,3,RURAL,0
51,VA,51-01,9,URBAN,9
51,VA,51-02,7,URBAN,9
51,VA,51-03,7,SUBURBAN,9
51,VA,51-04,7,SUBURBAN,9
51,VA,51-05,6,RURAL,9
53,WA,53-01,9,URBAN,8
53,WA,53-02,9,URBAN,8
53,WA,53-03,7,SUBURBAN,8
53,WA,53-04,7,RURAL,8
54,WV,54-01,9,SUBURBAN,0
55,WI,55-01,9,URBAN,6
55,WI,55-02,6,URBAN,6
55,WI,55-03,5,SUBURBAN,6
55,WI,55-04,5,RURAL,6
56,WY,56-01,3,SUBURBAN,0
