state_fips,state_abbr,cand_code,cand_label,cand_type,primary_cluster,secondary_cluster,vote_total,vote_pct,quota_threshold,status,winnowing_point
1,AL,CON,CON,pure,0,,10.09,1.3887,121.03,surviving,AL
1,AL,CTR,CTR,pure,6,,0.28,0.0381,121.03,surviving,AL
1,AL,DSA,DSA,pure,8,,0.0,0.0,121.03,eliminated,AL
1,AL,LIB,LIB,pure,4,,8.4,1.1568,121.03,surviving,AL
1,AL,NAT,NAT,pure,3,,27.32,3.7624,121.03,surviving,AL
1,AL,REF,REF,pure,5,,0.0,0.0,121.03,eliminated,AL
1,AL,SD,SD,pure,1,,0.0,0.0,121.03,eliminated,AL
1,AL,STY,STY,pure,2,,74.95,10.3206,121.03,surviving,AL
2,AK,CON,CON,pure,0,,1.72,1.3141,21.77,surviving,AK
2,AK,CTR,CTR,pure,6,,1.43,1.0941,21.77,surviving,AK
2,AK,DSA,DSA,pure,8,,0.0,0.0,21.77,eliminated,AK
2,AK,LIB,LIB,pure,4,,2.24,1.7137,21.77,surviving,AK
2,AK,NAT,NAT,pure,3,,3.03,2.3211,21.77,surviving,AK
2,AK,REF,REF,pure,5,,0.0,0.0,21.77,eliminated,AK
2,AK,SD,SD,pure,1,,13.36,10.2237,21.77,surviving,AK
2,AK,STY,STY,pure,2,,0.0,0.0,21.77,eliminated,AK
4,AZ,CON,CON,pure,0,,67.18,5.7904,193.35,surviving,AZ
4,AZ,CTR,CTR,pure,6,,0.0,0.0,193.35,eliminated,AZ
4,AZ,DSA,DSA,pure,8,,0.0,0.0,193.35,eliminated,AZ
4,AZ,LIB,LIB,pure,4,,0.05,0.0042,193.35,surviving,AZ
4,AZ,NAT,NAT,pure,3,,0.0,0.0,193.35,eliminated,AZ
4,AZ,PRG,PRG,pure,9,,1.69,0.1459,193.35,surviving,AZ
4,AZ,REF,REF,pure,5,,113.82,9.8109,193.35,surviving,AZ
4,AZ,SD,SD,pure,1,,0.0,0.0,193.35,eliminated,AZ
4,AZ,STY,STY,pure,2,,10.62,0.9152,193.35,surviving,AZ
5,AR,CON,CON,pure,0,,0.2,0.0493,68.7,surviving,AR
5,AR,CTR,CTR,pure,6,,2.6,0.6318,68.7,surviving,AR
5,AR,DSA,DSA,pure,8,,0.0,0.0,68.7,eliminated,AR
5,AR,LIB,LIB,pure,4,,0.0,0.0,68.7,eliminated,AR
5,AR,NAT,NAT,pure,3,,2.2,0.5345,68.7,surviving,AR
5,AR,PRG,PRG,pure,9,,0.0,0.0,68.7,eliminated,AR
5,AR,REF,REF,pure,5,,0.0,0.0,68.7,eliminated,AR
5,AR,SD,SD,pure,1,,60.91,14.777,68.7,surviving,AR
5,AR,STY,STY,pure,2,,2.78,0.6741,68.7,surviving,AR
6,CA,CON,CON,pure,0,,0.0,0.0,661.03,eliminated,CA
6,CA,CTR,CTR,pure,6,,14.67,0.3698,661.03,surviving,CA
6,CA,DSA,DSA,pure,8,,0.0,0.0,661.03,eliminated,CA
6,CA,LIB,LIB,pure,4,,459.79,11.5927,661.03,surviving,CA
6,CA,NAT,NAT,pure,3,,0.0,0.0,661.03,eliminated,CA
6,CA,PRG,PRG,pure,9,,0.0,0.0,661.03,eliminated,CA
6,CA,REF,REF,pure,5,,18.08,0.4557,661.03,surviving,CA
6,CA,SD,SD,pure,1,,123.21,3.1064,661.03,surviving,CA
6,CA,STY,STY,pure,2,,45.29,1.142,661.03,surviving,CA
8,CO,CON,CON,pure,0,,27.07,3.2718,137.88,surviving,CO
8,CO,CTR,CTR,pure,6,,0.0,0.0,137.88,eliminated,CO
